Sample ID,Collection Date,iNat User,url,place_guess,latitude,longitude,scientific_name,common_name,plant health condition,plant symptom,Dieback percent,site type,site/area disturbance level,site hydrology,site/location description,slope position,percent of plants (of same species) affected within sight (%),regeneration present?,soil sample number,Phytophthora likely,Notes,Notes Extra
FZJ070,2/21/25,imontejano05,https://www.inaturalist.org/observations/262597872,"SE 158th St, Issaquah, WA, US",47.46083457,-121.9877535,Polystichum munitum,western sword fern,Good,Healthy,0,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,1,No there are not any new plants,Issaquah Site 2 Fern 1,Yes,Healthy,
FZJ071,2/21/25,imontejano05,https://www.inaturalist.org/observations/262597872,"SE 158th St, Issaquah, WA, US",47.46083457,-121.9877535,Polystichum munitum,western sword fern,Good,Healthy,0,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,1,No there are not any new plants,Issaquah Site 2 Fern 2,,Healthy,
FZJ072,2/21/25,imontejano05,https://www.inaturalist.org/observations/262597872,"SE 158th St, Issaquah, WA, US",47.46083457,-121.9877535,Polystichum munitum,western sword fern,Good,Healthy,0,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,1,No there are not any new plants,Issaquah Site 2 Fern 3,,Healthy,
FZJ073,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 1,,"Dead/dying site, dying",
FZJ074,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 2,,"Dead/dying site, dying",
FZJ075,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 3,,"Dead/Dying site, stump",
FZJ076,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 4,,"Dead/Dying site, stump",
FZJ077,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 1,,"Dead/dying site, dying",
FZJ078,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 2,,"Dead/dying site, dying",
FZJ079,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 3,,"Dead/Dying site, stump",
FZJ080,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 4,,"Dead/Dying site, stump",
FZJ081,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263292031,"NE Mountain Lake Dr, Belfair, WA, US",47.52071,-122.827,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,75,No there are not any new plants,"belfair site 1, fern 1",,Dying,
FZJ082,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263292031,"NE Mountain Lake Dr, Belfair, WA, US",47.52071,-122.827,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,75,No there are not any new plants,"belfair site 1, fern 2",,Dying,
FZJ083,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263292031,"NE Mountain Lake Dr, Belfair, WA, US",47.52071,-122.827,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,75,No there are not any new plants,"belfair site 1, fern 3",Yes,Dead,
FZJ084,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263295333,"NE Mountain Lake Dr, Belfair, WA, US",47.52052,-122.827,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,65,No there are not any new plants,"belfair site 2, fern 1",,Dying,
FZJ085,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263295333,"NE Mountain Lake Dr, Belfair, WA, US",47.52052,-122.827,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,65,No there are not any new plants,"belfair site 2, fern 2",,Dying,
FZJ086,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263295333,"NE Mountain Lake Dr, Belfair, WA, US",47.52052,-122.827,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,65,No there are not any new plants,"belfair site 2, fern 3",,Dead,
FZJ087,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263391626,"NE Mountain Lake Dr, Belfair, WA, US",47.52045,-122.828,Polystichum munitum,western sword fern,Fair,Collapse of Some Fronds,15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,15,Yes there are new plants,"belfair site 3, fern 1",,Dying,
FZJ088,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263391626,"NE Mountain Lake Dr, Belfair, WA, US",47.52045,-122.828,Polystichum munitum,western sword fern,Fair,Collapse of Some Fronds,15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,15,Yes there are new plants,"belfair site 3, fern 2",Yes,Dying,
FZJ089,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263391626,"NE Mountain Lake Dr, Belfair, WA, US",47.52045,-122.828,Polystichum munitum,western sword fern,Fair,Collapse of Some Fronds,15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,15,Yes there are new plants,"belfair site 3, fern 3",Yes,Healthy,
FZJ090,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263786295,"NE Mountain Lake Dr, Belfair, WA, US",47.5202,-122.828,Polystichum munitum,western sword fern,No Selection,No Selection,15,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Forest edge,Floodplain or valley bottom,7,Yes there are new plants,"belfair site 4, fern 1",Yes,Dying ,
FZJ091,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263786295,"NE Mountain Lake Dr, Belfair, WA, US",47.5202,-122.828,Polystichum munitum,western sword fern,No Selection,No Selection,15,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Forest edge,Floodplain or valley bottom,7,Yes there are new plants,"belfair site 4, fern 2","Yes, overgrown",Healthy,
FZJ092,2/27/25,figgywiggums,https://www.inaturalist.org/observations/263786295,"NE Mountain Lake Dr, Belfair, WA, US",47.5202,-122.828,Polystichum munitum,western sword fern,No Selection,No Selection,15,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Forest edge,Floodplain or valley bottom,7,Yes there are new plants,"belfair site 4, fern 3",,Dead,
FZJ093,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263787239,"Tradition Plateau NRCA, Issaquah, WA, US",47.53158,-121.999,Polystichum munitum,western sword fern,Fair,Collapse of Some Fronds,8,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Forest edge,Lower slope,20,No there are not any new plants,"swamp trail site 1, fern 1",Yes,Healthy,
FZJ094,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263787239,"Tradition Plateau NRCA, Issaquah, WA, US",47.53158,-121.999,Polystichum munitum,western sword fern,Fair,Collapse of Some Fronds,8,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Forest edge,Lower slope,20,No there are not any new plants,"swamp trail site 1, fern 2",Yes,Dying ,
FZJ095,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263787239,"Tradition Plateau NRCA, Issaquah, WA, US",47.53158,-121.999,Polystichum munitum,western sword fern,Fair,Collapse of Some Fronds,8,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Forest edge,Lower slope,20,No there are not any new plants,"swamp trail site 1, fern 3",Yes,Dead,
FZJ096,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900510,"Tradition Plateau NRCA, Issaquah, WA, US",47.53171,-122.002,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,5,Yes there are new plants,"swamp trail site 2, fern 1",Yes,Dying ,
FZJ097,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900510,"Tradition Plateau NRCA, Issaquah, WA, US",47.53171,-122.002,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,5,Yes there are new plants,"swamp trail site 2, fern 2",,Healthy,
FZJ098,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900510,"Tradition Plateau NRCA, Issaquah, WA, US",47.53171,-122.002,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,5,Yes there are new plants,"swamp trail site 2, fern 3",,Dead,
FZJ099,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900572,"Tradition Plateau NRCA, Issaquah, WA, US",47.53183,-122.003,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),40,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,50,Yes there are new plants,"Swamp trail site 3, fern 1",,Healthy,
FZJ100,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900572,"Tradition Plateau NRCA, Issaquah, WA, US",47.53183,-122.003,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),40,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,50,Yes there are new plants,"Swamp trail site 3, fern 2",,Dying ,
FZJ101,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900572,"Tradition Plateau NRCA, Issaquah, WA, US",47.53183,-122.003,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),40,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,50,Yes there are new plants,"Swamp trail site 3, fern 3",,Dead,
FZJ102,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900616,"Tradition Plateau NRCA, Issaquah, WA, US",47.53243,-122.007,Polystichum munitum,western sword fern,Good,Healthy,2,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,3,No there are not any new plants,"swamp trail site 4, fern 1",,Healthy,
FZJ103,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900616,"Tradition Plateau NRCA, Issaquah, WA, US",47.53243,-122.007,Polystichum munitum,western sword fern,Good,Healthy,2,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,3,No there are not any new plants,"swamp trail site 4, fern 2",,Healthy,
FZJ104,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900616,"Tradition Plateau NRCA, Issaquah, WA, US",47.53243,-122.007,Polystichum munitum,western sword fern,Good,Healthy,2,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,3,No there are not any new plants,"swamp trail site 4,fern 3",,Healthy,
FZJ105,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900677,"Mercer Island, Mercer Island, WA, US",47.58366,-122.225,Polystichum munitum,western sword fern,Good,Browning fronds,4,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,3,Not Sure,"Luther Burbank site 1, fern 1",,Dying ,
FZJ106,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900677,"Mercer Island, Mercer Island, WA, US",47.58366,-122.225,Polystichum munitum,western sword fern,Good,Browning fronds,4,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,3,Not Sure,"Luther Burbank site 1, fern 2",,Healthy,
FZJ107,3/3/25,figgywiggums,https://www.inaturalist.org/observations/263900677,"Mercer Island, Mercer Island, WA, US",47.58366,-122.225,Polystichum munitum,western sword fern,Good,Browning fronds,4,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,3,Not Sure,"Luther Burbank site 1, fern 3",Yes,Dead,
FZJ108,3/4/25,imontejano05,https://www.inaturalist.org/observations/263911651,"Olympic Pl, Port Ludlow, WA, US",47.92803,-122.684,Polystichum munitum,western sword fern,Fair,Browning fronds,10,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),12,No there are not any new plants,"Portl Ludlow site 1, fern 1",,dying,
FZJ109,3/4/25,imontejano05,https://www.inaturalist.org/observations/263911651,"Olympic Pl, Port Ludlow, WA, US",47.92803,-122.684,Polystichum munitum,western sword fern,Fair,Browning fronds,10,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),12,No there are not any new plants,"Portl Ludlow site 1, fern 2",,,
FZJ110,3/4/25,imontejano05,https://www.inaturalist.org/observations/263911651,"Olympic Pl, Port Ludlow, WA, US",47.92803,-122.684,Polystichum munitum,western sword fern,Fair,Browning fronds,10,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),12,No there are not any new plants,"Portl Ludlow site 1, fern 3",,dying,
FZJ111,3/4/25,imontejano05,https://www.inaturalist.org/observations/263911651,"Olympic Pl, Port Ludlow, WA, US",47.92803,-122.684,Polystichum munitum,western sword fern,Fair,Browning fronds,10,Urban,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),12,No there are not any new plants,"Portl Ludlow site 1, fern 4",,stump,
FZJ112,3/4/25,imontejano05,https://www.inaturalist.org/observations/263916171,"Keller Ln, Port Ludlow, WA, US",47.93155,-122.685,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,12,No there are not any new plants,"Port Ludlow site 2, fern 1",,healthy,
FZJ113,3/4/25,imontejano05,https://www.inaturalist.org/observations/263916171,"Keller Ln, Port Ludlow, WA, US",47.93155,-122.685,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,12,No there are not any new plants,"Port Ludlow site 2, fern2",,stump,
FZJ114,3/4/25,imontejano05,https://www.inaturalist.org/observations/263916171,"Keller Ln, Port Ludlow, WA, US",47.93155,-122.685,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,12,No there are not any new plants,"Port Ludlow site 2, fern 3",,dying,
FZJ115,3/4/25,imontejano05,https://www.inaturalist.org/observations/263917967,"Oak Bay Rd, Port Ludlow, WA, US",47.93093,-122.685,Polystichum munitum,western sword fern,Good,No Selection,7,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,5,No there are not any new plants,"Port Ludlow site 3 , fern 1",,healthy,
FZJ116,3/4/25,imontejano05,https://www.inaturalist.org/observations/263917967,"Oak Bay Rd, Port Ludlow, WA, US",47.93093,-122.685,Polystichum munitum,western sword fern,Good,No Selection,7,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,5,No there are not any new plants,"Port Ludlow site, fern 2",,dying,
FZJ117,3/4/25,imontejano05,https://www.inaturalist.org/observations/263917967,"Oak Bay Rd, Port Ludlow, WA, US",47.93093,-122.685,Polystichum munitum,western sword fern,Good,No Selection,7,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,5,No there are not any new plants,"Port Ludlow site 3, fern 3",,stump,
FZJ118,3/4/25,imontejano05,https://www.inaturalist.org/observations/263919522,"Oak Bay Rd, Port Ludlow, WA, US",47.93032,-122.685,Polystichum munitum,western sword fern,Fair,Browning fronds,,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,8,Yes there are new plants,"Port Ludlow Site 4, fern 1",,healthy,
FZJ119,3/4/25,imontejano05,https://www.inaturalist.org/observations/263919522,"Oak Bay Rd, Port Ludlow, WA, US",47.93032,-122.685,Polystichum munitum,western sword fern,Fair,Browning fronds,,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,8,Yes there are new plants,"Port Ludlow Site 4, fern 2",,dying,
FZJ120,3/4/25,imontejano05,https://www.inaturalist.org/observations/263919522,"Oak Bay Rd, Port Ludlow, WA, US",47.93032,-122.685,Polystichum munitum,western sword fern,Fair,Browning fronds,,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Middle of a slope,8,Yes there are new plants,"Port Ludlow Site 4, fern 3",,stump,
FZJ121,3/13/25,imontejano05,https://www.inaturalist.org/observations/265189792,"Mercer Island, Mercer Island, WA, US",47.58283,-122.226,Polystichum munitum,western sword fern,Fair,Browning fronds,4,Suburban,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,4,No there are not any new plants,"Luther Burbank Site 2, Fern 1",,Healthy,
FZJ122,3/13/25,imontejano05,https://www.inaturalist.org/observations/265189792,"Mercer Island, Mercer Island, WA, US",47.58283,-122.226,Polystichum munitum,western sword fern,Fair,Browning fronds,4,Suburban,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,4,No there are not any new plants,"Luther Burbank Site 2, Fern 2",,Dying,
FZJ123,3/13/25,imontejano05,https://www.inaturalist.org/observations/265189792,"Mercer Island, Mercer Island, WA, US",47.58283,-122.226,Polystichum munitum,western sword fern,Fair,Browning fronds,4,Suburban,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,4,No there are not any new plants,"Luther Burbank Site 2, Fern 3",,Dying,
FZJ124,3/13/25,imontejano05,https://www.inaturalist.org/observations/265189792,"Mercer Island, Mercer Island, WA, US",47.58283,-122.226,Polystichum munitum,western sword fern,Fair,Browning fronds,4,Suburban,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,4,No there are not any new plants,"Luther Burbank Site 2, Fern 4",,Dead,
FZJ125,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265203323,"Seward Park, Seattle, WA, US",47.55543,-122.249,Polystichum munitum,western sword fern,Good,Browning fronds,2,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,10,No there are not any new plants,"ground zero seward, fern 1",,Healthy,
FZJ126,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265203323,"Seward Park, Seattle, WA, US",47.55543,-122.249,Polystichum munitum,western sword fern,Good,Browning fronds,2,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,10,No there are not any new plants,"ground zero seward, fern 2",,Healthy,
FZJ127,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265206716,"Seward Park, Seattle, WA, US",47.55665,-122.251,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,No there are not any new plants,"sew-101, Fern 1",,Healthy,
FZJ128,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265206716,"Seward Park, Seattle, WA, US",47.55665,-122.251,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,No there are not any new plants,"sew-101, Fern 2",,Dying,
FZJ129,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265206716,"Seward Park, Seattle, WA, US",47.55665,-122.251,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,No there are not any new plants,"sew-101, Fern 3",,Dying,
FZJ130,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265206716,"Seward Park, Seattle, WA, US",47.55665,-122.251,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,35,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,No there are not any new plants,"sew-101, Fern 4",,Dead,
FZJ131,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265207958,"Seward Park, Seattle, WA, US",47.5561,-122.253,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,8,Yes there are new plants,"fallen log seward, fern 1",,Healthy,
FZJ132,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265207958,"Seward Park, Seattle, WA, US",47.5561,-122.253,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,8,Yes there are new plants,"fallen log seward, fern 2",,Dying,
FZJ133,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265207958,"Seward Park, Seattle, WA, US",47.5561,-122.253,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,8,Yes there are new plants,"fallen log seward, fern 3",,Dying,
FZJ134,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265207958,"Seward Park, Seattle, WA, US",47.5561,-122.253,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),10,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,8,Yes there are new plants,"fallen log seward, fern 4",,Dead,
FZJ135,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265305229,"Seward Park, Seattle, WA, US",47.55606,-122.252,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,20,No there are not any new plants,"before bridge seward, fern 1",,Healthy,
FZJ136,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265305229,"Seward Park, Seattle, WA, US",47.55606,-122.252,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,20,No there are not any new plants,"before bridge seward, fern 2",,Dying,
FZJ137,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265305229,"Seward Park, Seattle, WA, US",47.55606,-122.252,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,20,No there are not any new plants,"before bridge seward, fern 3",,Dying,
FZJ138,3/13/25,figgywiggums,https://www.inaturalist.org/observations/265305229,"Seward Park, Seattle, WA, US",47.55606,-122.252,Polystichum munitum,western sword fern,Fair,Multiple Symptoms (Please describe in Notes),15,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,20,No there are not any new plants,"before bridge seward, fern 4",Yes,Dead,
FZJ139,,,,Point Defiance,,,,Rhododendron Deep Clover H777,,,,,,,,,,,,,H777,
FZJ140,,,,Point Defiance,,,,Rhododendron Yakisiamum S707,,,,,,,,,,,,Yes,"3/4 dead, S707,","Joey: some writing is not legible, please write in excell sheet"
FZJ141,,,,Point Defiance,,,,Rhododendron Mirah x Barnes H806,,,,,,,,,,,,,,"Joey: some writing is not legible, please write in excell sheet"
FZJ142,,,,Gig Harbor,,,Thuja Plicata,western redcedar,,,,,,,,,,,,,Dead Top,"Joey: some writing is not legible, please write in excell sheet"