Fern Number,Dead,Healthy,Unhealthy,Fiddleheads,Total,Treatment,Trial
C01,14,14,25,0,53,Control,1
W01,2,18,28,1,48,Wild,1
C02,6,19,29,6,54,Control,1
W02,5,17,35,2,57,Wild,1
W03,31,4,3,0,39,Wild,1
C03,8,23,35,0,64,Control,1
C04,9,23,35,1,64,Control,1
C05,14,14,33,0,61,Control,1
W04,6,5,21,1,32,Wild,1
W05,17,13,22,1,52,Wild,1
C06,22,26,45,0,93,Control,1
W06,11,11,31,1,53,Wild,1
C07,14,8,15,0,37,Control,1
W07,15,10,32,0,57,Wild,1
C08,16,18,35,1,69,Control,1
W09,11,10,30,0,51,Wild,1
C09,16,6,21,0,43,Control,1
C10,15,6,28,0,49,Control,1
C12,20,28,28,0,76,Control,1
W11,12,23,37,1,72,Wild,1
C13,14,19,51,1,84,Control,1
W12,19,12,35,0,66,Wild,1
W13,15,7,20,1,48,Wild,1
C14,20,14,33,0,67,Control,1
C15,14,13,26,1,53,Control,1
W14,3,6,62,0,71,Wild,1
C16,10,3,20,1,33,Control,1
W15,16,12,26,1,54,Wild,1
W16,37,7,10,0,54,Wild,1
C17,16,12,39,0,67,Control,1
W17,21,0,20,0,41,Wild,1
C18,21,9,31,2,61,Control,1
W18,38,0,14,0,52,Wild,1
C19,23,5,33,1,61,Control,1
W19,11,5,30,0,46,Wild,1
C20,17,15,42,1,74,Control,1
W20,27,2,28,1,57,Wild,1
C21,22,5,27,1,54,Control,1
W21,2,0,33,2,35,Wild,1
C22,5,3,35,0,43,Control,1
C24,3,19,42,1,64,Control,1
W23,16,9,11,0,36,Wild,1
C25,21,25,39,2,85,Control,1
W24,18,7,17,0,42,Wild,1
C26,25,19,53,4,97,Control,1
W25,34,15,16,2,65,Wild,1
C27,7,9,41,1,57,Control,1
W26,18,10,58,2,86,Wild,1
C28,13,26,28,2,67,Control,1
W27,6,13,29,2,48,Wild,1
C29,12,9,19,2,40,Control,1
C30,19,17,33,0,69,Control,1
W28,9,16,24,0,51,Wild,1
W29,12,24,50,2,86,Wild,1
C31,16,13,21,1,50,Control,1
W30,16,10,36,2,62,Wild,1
C32,33,17,27,1,77,Control,1
W31,18,7,38,2,63,Wild,1
C33,8,16,35,1,59,Control,1
C34,19,23,34,2,76,Control,1
W32,22,21,40,1,83,Wild,1
C35,7,10,21,0,38,Control,1
W33,41,4,19,0,64,Wild,1
W34,48,9,13,2,70,Wild,1
W35,25,26,39,2,90,Wild,1
C36,10,15,23,0,48,Control,1
W36,16,16,41,1,73,Wild,1
C37,18,20,33,2,71,Control,1
C38,42,12,37,3,91,Control,1
W37,3,10,23,0,36,Wild,1
C39,33,27,39,3,99,Control,1
W38,27,14,27,3,68,Wild,1
C40,23,9,40,2,72,Control,1
W39,28,8,33,2,59,Wild,1
C41,9,11,29,0,49,Control,1
W40,40,17,27,1,84,Wild,1
C42,23,14,42,1,79,Control,1
W41,16,15,34,0,65,Wild,1
C43,31,11,45,1,87,Control,1
W42,9,10,27,0,46,Wild,1
C44,15,13,39,2,67,Control,1
W43,20,14,24,1,58,Wild,1
W44,41,5,29,0,75,Wild,1
C45,16,10,38,0,64,Control,1
W45,22,3,22,2,47,Wild,1
W46,29,6,26,1,61,Wild,2
C46,20,14,21,0,55,Control,2
P01,11,21,27,2,59,Potting,2
C47,3,14,33,1,50,Control,2
W47,17,23,42,2,82,Wild,2
P02,26,13,36,3,75,Potting,2
C48,13,8,18,1,39,Control,2
W48,37,22,28,2,87,Wild,2
W49,61,19,32,2,112,Wild,2
C50,22,18,36,3,76,Control,2
P03,18,9,26,1,53,Potting,2
C51,5,8,28,1,41,Control,2
C49,19,9,27,1,55,Control,2
W51,17,5,35,3,57,Wild,2
C52,24,25,31,0,80,Control,2
W52,30,24,31,1,85,Wild,2
P04,13,13,39,4,65,Potting,2
C53,18,18,34,1,70,Control,2
W53,20,8,21,1,49,Wild,2
C54,33,15,34,0,82,Control,2
W54,22,14,21,1,57,Wild,2
P05,15,14,29,3,58,Potting,2
C55,18,16,32,1,66,Control,2
W55,19,16,29,1,64,Wild,2
C56,19,26,41,4,86,Control,2
W56,15,5,13,2,33,Wild,2
C57,9,14,33,1,56,Control,2
W57,24,13,24,5,61,Wild,2
W58,31,17,36,0,84,Wild,2
C58,21,14,26,1,61,Control,2
P06,46,10,5,1,61,Potting,2
C59,20,17,37,0,74,Control,2
W59,37,13,18,1,68,Wild,2
W60,30,5,14,1,49,Wild,2
P07,18,4,40,1,62,Potting,2
C62,26,9,18,0,53,Control,2
C61,15,10,20,1,45,Control,2
W61,24,12,45,2,81,Wild,2
W62,31,15,32,0,78,Wild,2
C63,5,20,31,1,56,Control,2
W64,34,6,16,0,63,Wild,2
C64,20,11,30,0,61,Control,2
P08,7,8,30,1,45,Potting,2
C65,21,7,18,1,46,Control,2
W65,10,12,29,0,51,Wild,2
C66,11,18,47,0,76,Control,2
P09,14,8,22,0,44,Potting,2
C67,19,12,27,0,58,Control,2
W67,20,20,27,1,67,Wild,2
C68,29,2,27,2,58,Control,2
W68,29,11,34,1,74,Wild,2
C69,42,17,31,2,90,Control,2
W69,39,19,28,0,86,Wild,2
C70,19,5,29,0,53,Control,2
W70,24,11,30,2,65,Wild,2
P10,19,6,20,2,45,Potting,2
C71,24,11,26,1,61,Control,2
W71,6,6,12,0,24,Wild,2
C72,18,9,45,2,72,Control,2
W72,38,6,24,3,68,Wild,2
P11,22,3,26,0,51,Potting,2
C73,23,21,36,1,80,Control,2
W73,19,13,20,1,52,Wild,2
C74,28,5,27,6,60,Control,2
W74,23,12,39,0,74,Wild,2
P12,5,21,34,1,60,Potting,2
C75,39,11,35,0,85,Control,2
W75,34,13,37,2,84,Wild,2
W76,41,10,29,2,80,Wild,2
C76,25,6,14,1,45,Control,2
P13,32,6,2,2,40,Potting,2
C77,16,15,39,4,70,Control,2
W77,10,16,46,3,72,Wild,2
C78,30,10,25,2,65,Control,2
W78,19,26,41,1,86,Wild,2
P14,19,10,46,0,75,Potting,2
W80,52,2,3,0,57,Wild,2
C79,42,16,33,3,101,Control,2
W79,13,12,38,0,63,Wild,2
C80,15,21,42,0,78,Control,2
P15,18,15,30,0,63,Potting,2
C81,8,9,51,5,68,Control,2
W81,38,2,17,3,57,Wild,2
C82,10,9,43,4,62,Control,2
W82,17,12,19,1,48,Wild,2
P16,12,11,44,1,67,Potting,2
C83,28,16,57,7,101,Control,2
W83,12,17,22,0,51,Wild,2
C84,20,20,48,3,88,Control,2
W84,28,11,26,1,65,Wild,2
C85,27,21,43,0,91,Control,2
W85,3,18,38,2,59,Wild,2
C86,27,11,47,1,85,Control,2
W86,6,18,38,3,62,Wild,2
P17,23,6,36,2,65,Potting,2
C87,18,16,53,2,87,Control,2
W87,20,4,24,1,48,Wild,2
C88,15,16,40,0,71,Control,2
P18,16,14,31,1,61,Potting,2
W88,13,12,34,0,59,Wild,2
C89,14,18,41,0,73,Control,2
W89,26,6,15,1,47,Wild,2