Sample Extraction Number,Isolate Name,Sample Number (Soil or Tissue),Secondary Isolation Number,Sample Substrate,Priority,Date Extracted,Extraction Kit,Qubit (ng/ul),Notes,PCR Amplification Date,Successful Amplification?,Tentative Results (Internal NCBI Oomcycete including voucher blast),Genus,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0173,FZJ083-2 Soil,FZJ083,2,Soil,,5/1/25,Prepman,16.5,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0174,FZJ084-2 Soil,FZJ084,2,Soil,,5/1/25,Prepman,12.2,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0175,FZJ085-1 Soil,FZJ085,1,Soil,,5/1/25,Prepman,35,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0176,FZJ086-1 Soil,FZJ086,1,Soil,,5/1/25,Prepman,18.2,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0177,FZJ087-1 Soil,FZJ087,1,Soil,,5/1/25,Prepman,22.3,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0178,FZJ088-1 Soil,FZJ088,1,Soil,,5/1/25,Prepman,23.1,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0179,FZJ088-2 Soil,FZJ088,2,Soil,,5/1/25,Prepman,14,,5/22/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0180,FZJ089-1 Soil,FZJ089,1,Soil,,5/1/25,Prepman,9.34,,5/22/25,y,Phytophthora attenuata,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0231,FZJ090-1 Soil,FZJ090,1,Soil,,6/4/25,Prepman,0.345,,6/12/25,y,Phytophthora pseudosyringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0181,FZJ090-2 Soil,FZJ090,2,Soil,,5/1/25,Prepman,24.7,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0182,FZJ090-3 Soil,FZJ090,3,Soil,,5/1/25,Prepman,10.5,,6/10/25,y,Phytopythium sp. 1,Phytopythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0183,FZJ091-1 Soil,FZJ091,1,Soil,,5/1/25,Prepman,20.2,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0184,FZJ095-1 Soil,FZJ095,1,Soil,,5/1/25,Prepman,32.4,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0185,FZJ096-1 Soil,FZJ096,1,Soil,,5/1/25,Prepman,9.43,,5/22/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0186,FZJ097-3,FZJ097,3,,,5/1/25,Prepman,34.6,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0187,FZJ098-1 Soil,FZJ098,1,Soil,,5/1/25,Prepman,22.3,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0188,FZJ100-1 Soil,FZJ100,1,Soil,,5/1/25,Prepman,22.7,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0189,FZJ100-2 Soil,FZJ100,2,Soil,,5/6/25,Prepman,9.87,,6/12/25,y,Phytophthora nemrosa,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0228,FZJ102-1 Soil,FZJ102,1,Soil,,6/4/25,Prepman,1.67,,6/12/25,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0190,FZJ104-1 Soil,FZJ104,1,Soil,,5/6/25,Prepman,35.8,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0191,FZJ104-2 Soil,FZJ104,2,Soil,,5/6/25,Prepman,11.5,,5/22/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0192,FZJ105-1 Soil,FZJ105,1,Soil,,5/6/25,Prepman,26.1,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0193,FZJ105-2 Soil,FZJ105,2,Soil,,5/6/25,Prepman,29.3,,5/22/25,y,Phytophthora flexuosa?,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0194,FZJ105-3 Soil,FZJ105,3,Soil,,5/6/25,Prepman,33.2,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0195,FZJ106-1 Root,FZJ106,1,Root,Y,5/6/25,Prepman,5.13,,"5/8/2025, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0078,FZJ106-2 ROOT,FZJ106,2,ROOT,Y,4/2/25,Prepman,3.89,,"5/8/2025, 5/13/25, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
,FZJ107-1 Soil,FZJ107,1,Soil,,5/6/25,Prepman,,Not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0196,FZJ109-2 Soil,FZJ109,2,Soil,,5/6/25,Prepman,31.6,,6/12/25,,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0197,FZJ112-1 Soil,FZJ112,1,Soil,,5/6/25,Prepman,33.3,,6/12/25,,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0198,FZJ112-2 Soil,FZJ112,2,Soil,,5/6/25,Prepman,43.2,,6/12/25,,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0089,FZJ115-1 ROOT,FZJ115,1,ROOT,Y,4/2/25,Prepman,5.54,faint band in gel; Not Sequenced,"5/8/2025, 5/13/25",y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0199,FZJ115-1 Soil,FZJ115,1,Soil,,5/6/25,Prepman,17.4,,5/22/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0087,FZJ115-2 ROOT,FZJ115,2,ROOT,Y,4/2/25,Prepman,8.64,,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0079,FZJ115-3 ROOT,FZJ115,3,ROOT,Y,4/2/25,Prepman,8.86,,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0075,FZJ118-1 ROOT,FZJ118,1,ROOT,Y,4/2/25,Prepman,22.7,,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0200,FZJ118-1 Soil,FZJ118,1,Soil,,5/6/25,Prepman,57.8,,6/12/25,,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0070,FZJ118-2 ROOT,FZJ118,2,ROOT,,4/2/25,Prepman,24.5,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0240,FZJ118-2 Root,FZJ118,2,Root,,6/4/25,Prepman,2.22,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0201,FZJ119-1 Soil,FZJ119,1,Soil,,5/6/25,Prepman,23,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0202,FZJ119-2 Soil,FZJ119,2,Soil,,5/6/25,Prepman,18.3,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0203,FZJ120-1 Soil,FZJ120,1,Soil,,5/6/25,Prepman,23.3,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0204,FZJ121-1 Soil,FZJ121,1,Soil,,5/6/25,Prepman,18,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0205,FZJ121-2 Soil,FZJ121,2,Soil,,5/6/25,Prepman,16.1,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0206,FZJ122-1 Soil,FZJ122,1,Soil,,5/6/25,Prepman,20.6,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0207,FZJ123-1 Soil,FZJ123,1,Soil,,5/6/25,Prepman,14.2,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0208,FZJ125-1 Soil,FZJ125,1,Soil,Y,5/6/25,Prepman,2.93,,"5/8/2025, 5/16/25, 5/22/25",y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0209,FZJ127-1 Soil,FZJ127,1,Soil,Y,5/6/25,Prepman,3.29,,"5/8/2025, 5/16/25, 5/22/25",y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0210,FZJ128-1 Soil,FZJ128,1,Soil,Y,5/6/25,Prepman,3.46,faint band in gel; Not Sequenced,"5/8/2025, 5/16/25",y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0211,FZJ129-1 Root,FZJ129,1,Root,Y,5/6/25,Prepman,5.58,faint band in gel; Not Sequenced,"5/8/2025, 5/16/25",y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0074,FZJ132-1 ROOT,FZJ132,1,ROOT,Y,4/2/25,Prepman,0.115,,6/10/25,n,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0229,FZJ132-1 Root,FZJ132,1,Root,,6/4/25,Prepman,0.419,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0212,FZJ132-1 Soil,FZJ132,1,Soil,Y,5/6/25,Prepman,11.3,,6/12/25,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0213,FZJ134-1 Soil,FZJ134,1,Soil,Y,5/23/25,Prepman,7.85,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0214,FZJ138-2 Soil,FZJ138,2,Soil,Y,5/23/25,Prepman,16.3,,6/12/25,,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0215,FZJ139-2 Soil,FZJ139,2,Soil,,5/23/25,Prepman,17.8,,6/12/25,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0216,FZJ140-1 Soil,FZJ140,1,Soil,,5/23/25,Prepman,12,,6/12/25,y,Phytophthora cambivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0217,FZJ141-2 Soil,FZJ141,2,Soil,,5/23/25,Prepman,17.8,,6/12/25,y,Phytophthora cambivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0218,FZJ142-1 Soil,FZJ142,1,Soil,,5/23/25,Prepman,3.45,,6/12/25,y,Phytopythium citrinum,Phytopythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0219,FZJ142-2 Soil,FZJ142,2,Soil,,5/23/25,Prepman,6.8,,6/12/25,y,Phytophthora cactorum,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0220,FZJ142-3 Soil,FZJ142,3,Soil,,5/23/25,Prepman,12.4,,6/12/25,,Pythium macrosporum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0081,FZJ56-2 ROOT,FZJ56,2,ROOT,Y,4/2/25,Prepman,27.1,faint band in gel,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0242,Joey's Beach 5,Joey's Beach 5,,,,6/4/25,Prepman,0.513,,6/12/25,y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0076,Joey's Madrone 3,Joey's Madrone 3,,Stem Tissue,,4/2/25,Prepman,20.7,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
,PDR01-1,PDR01,1,,,6/4/25,Prepman,,appears contaminated,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0237,PDR04-1,PDR04,1,,,6/4/25,Prepman,1.98,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0065,SBSS2-02,SBSS2,2,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0068,SBSS3-67,SBSS3,67,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0066,SBSS7-29,SBSS7,29,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0061,SBSS8-25,SBSS8,25,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0064,SBSS8-25,SBSS8,25,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0063,SBSS8-26,SBSS8,26,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0222,T1C2-1,T1C2,1,,,5/23/25,Prepman,7.2,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0223,T1W1-1,T1W1,1,,,5/23/25,Prepman,6.01,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0224,T1W1-2,T1W1,2,,,5/23/25,Prepman,6.2,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0080,T1W2-1,T1W2,1,Soil,,4/2/25,Prepman,2.58,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0083,T1W2-2,T1W2,2,Soil,,4/2/25,Prepman,6.94,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0082,T1W3-1 A,T1W3,1A,Soil,,4/2/25,Prepman,40.4,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0091,T1W3-1 B,T1W3,1B,Soil,,4/2/25,Prepman,6.25,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0221,T1W3-2,T1W3,2,,,5/23/25,Prepman,10.3,,6/12/25,,Pythium macrosporum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0072,T2W1-2,T2W1,2,Soil,,4/2/25,Prepman,3.37,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0236,T2W3-1,T2W3,1,,,6/4/25,Prepman,0.378,,6/12/25,y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0238,T2W3-2,T2W3,2,,,6/4/25,Prepman,0.522,low quality sequence,6/12/25,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0243,Unkn E432,Unkn E432,,,,6/4/25,Prepman,1.35,,6/12/25,y,Phytopythium litorale,Phytopythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0002,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0003,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0004,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0005,,,,,,,Prepman,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0006,,,,,,,Prepman,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0007,,,,,,,Prepman,0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0008,,,,,,,Prepman,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0009,,,,,,,Prepman,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0010,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0011,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0012,,,,,,,Prepman,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0013,,,,,,,Prepman,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0014,,,,,,,Prepman,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0015,,,,,,,Prepman,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0016,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0017,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0018,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0019,,,,,,,Prepman,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0020,,,,,,,Prepman,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0021,,,,,,,Prepman,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0022,,,,,,,Prepman,0.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0023,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0024,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0025,,,,,,,Prepman,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0026,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0027,,,,,,,Prepman,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0028,,,,,,,Prepman,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0029,,,,,,,Prepman,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0030,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0031,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0032,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0033,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0034,,,,,,,Prepman,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0035,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0036,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0037,,,,,,,Prepman,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0038,,,,,,,Prepman,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0039,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0040,,,,,,,Prepman,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0041,,,,,,,Prepman,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0042,,,,,,,Prepman,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0043,,,,,,,Prepman,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0044,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0045,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0046,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0047,,,,,,4/22/25,Prepman,,"Mycelia scraped on Feb 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0048,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0049,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0050,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0051,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0052,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0053,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0054,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0055,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0056,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0057,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0058,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0059,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0060,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0062,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0067,,,,,,3/6/25,Prepman,,Mycelia scraped same day as extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,